sensitivity,centrality_measure,spec,coef,pvalue,r_squared,n
0.5,weighted_degree,full_with_flag,1.6314705106852707,9.371834556158792e-49,0.9016256038879047,107
0.5,weighted_degree,excl_public_sector,1.6557374822899853,1.6990079727863917e-45,0.8873807159832867,103
0.5,betweenness,full_with_flag,147.2548051489307,0.00220162986345826,0.2528560040418615,107
0.5,betweenness,excl_public_sector,143.44750084998708,0.0019321096272289942,0.2199671220985765,103
0.5,eigenvector,full_with_flag,1140.5961111857348,9.714018243076048e-48,0.8970162764677061,107
0.5,eigenvector,excl_public_sector,1157.7616953399997,1.5905733112605012e-44,0.882183465608114,103
0.5,pagerank,full_with_flag,13694.086542935931,3.928871828055082e-49,0.9032861687954095,107
0.5,pagerank,excl_public_sector,13899.244966273369,7.252485635866598e-46,0.8892981474111505,103
0.3,weighted_degree,full_with_flag,0.9557301945405082,6.847223471905848e-18,0.5373330328454793,107
0.3,weighted_degree,excl_public_sector,0.9330815391369969,2.354812461038574e-15,0.5212692561096159,103
0.3,betweenness,full_with_flag,145.83139043994646,5.315387637085395e-05,0.18146875176240096,107
0.3,betweenness,excl_public_sector,143.12094781443773,3.866031660325657e-05,0.23794240619823714,103
0.3,eigenvector,full_with_flag,674.5524404358191,3.3739735233857278e-18,0.5436549852345358,107
0.3,eigenvector,excl_public_sector,659.675266738507,1.1929283370964605e-15,0.5277323381716275,103
0.3,pagerank,full_with_flag,7988.247917052177,9.61610883551789e-18,0.5342691015716251,107
0.3,pagerank,excl_public_sector,7794.03784684902,3.2628667378092618e-15,0.5181390230435181,103
0.7,weighted_degree,full_with_flag,1.3275389394539236,4.142710702514e-44,0.885588954875402,107
0.7,weighted_degree,excl_public_sector,1.3170855170460647,2.443548883793458e-40,0.8540720659262262,103
0.7,betweenness,full_with_flag,94.51003256109874,0.01856835405252402,0.26813549145666205,107
0.7,betweenness,excl_public_sector,91.57208596797643,0.015784404433996327,0.17337051792473823,103
0.7,eigenvector,full_with_flag,929.6542474637367,1.0182197173033217e-43,0.8835570851148306,107
0.7,eigenvector,excl_public_sector,922.2834263643105,6.702005899235645e-40,0.8510731428275552,103
0.7,pagerank,full_with_flag,11139.069328516509,2.58187470242322e-44,0.8866430503727921,107
0.7,pagerank,excl_public_sector,11053.218432853526,1.4870652833986917e-40,0.8555260484907345,103
0.9,weighted_degree,full_with_flag,1.0542817119849748,3.584491818641144e-32,0.7999650288332768,107
0.9,weighted_degree,excl_public_sector,1.0379248017064626,2.881396692077657e-29,0.745577617991728,103
0.9,betweenness,full_with_flag,62.62551045046151,0.0674236638406603,0.2362413193091465,107
0.9,betweenness,excl_public_sector,60.45385079134418,0.061368183053230795,0.11705674314448133,103
0.9,eigenvector,full_with_flag,739.7284952694329,3.1839404288105703e-32,0.800427768454897,107
0.9,eigenvector,excl_public_sector,728.2634713014559,2.916484302285403e-29,0.7455156337555322,103
0.9,pagerank,full_with_flag,8842.292805994708,3.220842082416973e-32,0.8003828160571088,107
0.9,pagerank,excl_public_sector,8706.473527037018,2.5082230884739507e-29,0.7462868432634724,103
